train_loss,train_accuracy,epoch,step
0.6899548768997192,0.546875,0,49
0.6927048563957214,0.53125,0,99
0.6918562054634094,0.546875,0,149
0.6959856748580933,0.453125,0,199
0.6913166642189026,0.546875,0,249
0.6918676495552063,0.546875,0,299
0.6909907460212708,0.59375,0,349
0.695569634437561,0.453125,0,399
0.692470371723175,0.5625,0,449
0.6894071102142334,0.609375,0,499
0.6934833526611328,0.515625,0,549
0.6933467984199524,0.453125,0,599
0.6943667531013489,0.515625,0,649
0.6941334009170532,0.4375,0,699
0.6930209398269653,0.5,0,749
