train_loss,train_accuracy,epoch,step,val_loss,val_accuracy
0.6943953633308411,0.478515625,0,49,,
0.6946932077407837,0.4765625,0,99,,
0.6927295327186584,0.49530029296875,0,149,,
0.6937695145606995,0.4989013671875,0,199,,
0.693192720413208,0.5036087036132812,0,249,,
,,0,257,0.6930968761444092,0.5001078844070435
0.6935755014419556,0.494873046875,1,299,,
0.6932327747344971,0.498321533203125,1,349,,
0.692971408367157,0.49797821044921875,1,399,,
0.6924190521240234,0.503936767578125,1,449,,
0.6931955218315125,0.5049209594726562,1,499,,
,,1,515,0.6931010484695435,0.5001031160354614
0.6931259632110596,0.5013427734375,2,549,,
0.6931771636009216,0.49990081787109375,2,599,,
0.6926526427268982,0.5008087158203125,2,649,,
0.6921343803405762,0.5022430419921875,2,699,,
0.6928753852844238,0.51080322265625,2,749,,
,,2,773,0.6931024193763733,0.4999827444553375
0.6943407654762268,0.49691009521484375,3,799,,
0.6931555271148682,0.5193023681640625,3,849,,
0.6926709413528442,0.5032958984375,3,899,,
0.693360447883606,0.497711181640625,3,949,,
0.693792462348938,0.4957427978515625,3,999,,
,,3,1031,0.6930959820747375,0.4999181032180786
0.693594753742218,0.498016357421875,4,1049,,
0.6931337714195251,0.5018692016601562,4,1099,,
0.6929000020027161,0.49866485595703125,4,1149,,
0.6936615109443665,0.49798583984375,4,1199,,
0.6933876276016235,0.5017852783203125,4,1249,,
,,4,1289,0.6930845975875854,0.4999288022518158
0.6921578049659729,0.501922607421875,5,1299,,
0.6930740475654602,0.496307373046875,5,1349,,
0.6929281949996948,0.49884033203125,5,1399,,
0.6937546730041504,0.494384765625,5,1449,,
0.6916271448135376,0.5029296875,5,1499,,
,,5,1547,0.6930665969848633,0.4999396502971649
0.6935701966285706,0.4878692626953125,6,1549,,
0.693132758140564,0.502838134765625,6,1599,,
0.693161129951477,0.4894866943359375,6,1649,,
0.6925323009490967,0.511749267578125,6,1699,,
0.6914139986038208,0.502471923828125,6,1749,,
0.692200243473053,0.5093994140625,6,1799,,
,,6,1805,0.6930370926856995,0.4999779760837555
0.6930549144744873,0.517120361328125,7,1849,,
0.6929237842559814,0.506378173828125,7,1899,,
0.6938241720199585,0.5026016235351562,7,1949,,
0.6931390166282654,0.495361328125,7,1999,,
0.693123459815979,0.49139404296875,7,2049,,
,,7,2063,0.6929811835289001,0.4999345541000366
0.6923391819000244,0.5005035400390625,8,2099,,
0.6931589841842651,0.4992218017578125,8,2149,,
0.6923285126686096,0.5004043579101562,8,2199,,
0.6922430992126465,0.49748992919921875,8,2249,,
0.6920045614242554,0.5077362060546875,8,2299,,
,,8,2321,0.6928449273109436,0.4999508261680603
0.6938689947128296,0.49965667724609375,9,2349,,
0.6928096413612366,0.5042800903320312,9,2399,,
0.6935248970985413,0.4986572265625,9,2449,,
0.6916707754135132,0.497100830078125,9,2499,,
0.6931675672531128,0.496826171875,9,2549,,
,,9,2579,0.6926892995834351,0.4999302923679352
0.6914489269256592,0.499267578125,10,2599,,
0.6932225227355957,0.5092926025390625,10,2649,,
0.69319748878479,0.5056533813476562,10,2699,,
0.6917792558670044,0.5001602172851562,10,2749,,
0.6924700736999512,0.5038528442382812,10,2799,,
,,10,2837,0.6923846006393433,0.49997958540916443
0.6944782733917236,0.4989471435546875,11,2849,,
0.6944900751113892,0.496490478515625,11,2899,,
0.6930674910545349,0.5044631958007812,11,2949,,
0.6917153596878052,0.492218017578125,11,2999,,
0.697036862373352,0.49979400634765625,11,3049,,
,,11,3095,0.6922151446342468,0.5000001192092896
0.6898651123046875,0.5006103515625,12,3099,,
