train_loss,train_accuracy,epoch,step,val_loss,val_accuracy,test_loss,test_accuracy
0.6925948262214661,0.489471435546875,0,49,,,,
0.6929461359977722,0.50390625,0,99,,,,
0.6934052109718323,0.46875,0,149,,,,
0.69300377368927,0.51171875,0,199,,,,
0.6924188733100891,0.5234375,0,249,,,,
0.6953933835029602,0.4296875,0,299,,,,
0.6940393447875977,0.504058837890625,0,349,,,,
0.6944936513900757,0.4921875,0,399,,,,
0.6933731436729431,0.48956298828125,0,449,,,,
0.6939874291419983,0.46484375,0,499,,,,
,,0,514,0.6930990815162659,0.5001644492149353,,
0.6927512884140015,0.5025634765625,1,549,,,,
0.6936464309692383,0.45703125,1,599,,,,
0.6930890679359436,0.5,1,649,,,,
0.6931196451187134,0.504425048828125,1,699,,,,
0.6930631399154663,0.49798583984375,1,749,,,,
0.6933345794677734,0.50714111328125,1,799,,,,
0.6932865977287292,0.500457763671875,1,849,,,,
0.6932867765426636,0.497406005859375,1,899,,,,
0.6945012807846069,0.5,1,949,,,,
0.6944016218185425,0.4736328125,1,999,,,,
,,1,1029,0.6931020021438599,0.5002094507217407,,
0.6923394203186035,0.49725341796875,2,1049,,,,
0.6935785412788391,0.49609375,2,1099,,,,
0.6931964755058289,0.4964599609375,2,1149,,,,
0.6933069229125977,0.46484375,2,1199,,,,
0.6929029226303101,0.51007080078125,2,1249,,,,
0.6930550932884216,0.509613037109375,2,1299,,,,
0.6955471038818359,0.481842041015625,2,1349,,,,
0.6939648389816284,0.48492431640625,2,1399,,,,
0.6919688582420349,0.50341796875,2,1449,,,,
0.6937116384506226,0.490020751953125,2,1499,,,,
,,2,1544,0.6931058168411255,0.500213623046875,,
0.691788911819458,0.506591796875,3,1549,,,,
0.6931903958320618,0.497222900390625,3,1599,,,,
0.6930731534957886,0.5416259765625,3,1649,,,,
0.6930894255638123,0.503631591796875,3,1699,,,,
0.6929453611373901,0.509613037109375,3,1749,,,,
0.6930880546569824,0.5,3,1799,,,,
0.6930409669876099,0.491668701171875,3,1849,,,,
0.6919327974319458,0.50701904296875,3,1899,,,,
0.6934981346130371,0.5025634765625,3,1949,,,,
0.6935765147209167,0.499114990234375,3,1999,,,,
0.6923093795776367,0.502197265625,3,2049,,,,
,,3,2059,0.6931049823760986,0.5002333521842957,,
0.6926239728927612,0.5084228515625,4,2099,,,,
0.693794846534729,0.476104736328125,4,2149,,,,
0.6928483247756958,0.53125,4,2199,,,,
0.6930732131004333,0.509735107421875,4,2249,,,,
0.6936405897140503,0.503173828125,4,2299,,,,
0.6929028034210205,0.496337890625,4,2349,,,,
0.6940717101097107,0.4996337890625,4,2399,,,,
0.6924985647201538,0.504058837890625,4,2449,,,,
0.6926293969154358,0.4974365234375,4,2499,,,,
0.6936072111129761,0.49737548828125,4,2549,,,,
,,4,2574,0.6930988430976868,0.5001842975616455,,
0.6946789026260376,0.49395751953125,5,2599,,,,
0.6931995153427124,0.503021240234375,5,2649,,,,
0.6933354139328003,0.48046875,5,2699,,,,
0.6931541562080383,0.4991455078125,5,2749,,,,
0.6932251453399658,0.484832763671875,5,2799,,,,
0.6926339268684387,0.49822998046875,5,2849,,,,
0.6932148933410645,0.501373291015625,5,2899,,,,
