train_loss,train_accuracy,epoch,step,val_loss,val_accuracy,test_loss,test_accuracy
0.6930228471755981,0.513671875,0,49,,,,
0.6936730146408081,0.5087890625,0,99,,,,
,,0,128,0.693152904510498,0.5057966113090515,,
0.6931815147399902,0.5048828125,1,149,,,,
0.6927117109298706,0.5302734375,1,199,,,,
0.6931288838386536,0.51171875,1,249,,,,
,,1,257,0.693170428276062,0.50398850440979,,
0.6931396126747131,0.5009765625,2,299,,,,
0.6933525800704956,0.4990234375,2,349,,,,
,,2,386,0.693162202835083,0.506913423538208,,
0.6929962635040283,0.4951171875,3,399,,,,
0.6929606795310974,0.5126953125,3,449,,,,
0.6944100260734558,0.4833984375,3,499,,,,
,,3,515,0.6931521892547607,0.5073920488357544,,
0.6931028962135315,0.5,4,549,,,,
0.6935762763023376,0.4873046875,4,599,,,,
,,4,644,0.6931377053260803,0.5070197582244873,,
0.6923804879188538,0.521484375,5,649,,,,
0.6930123567581177,0.51953125,5,699,,,,
0.6927962899208069,0.51171875,5,749,,,,
,,5,773,0.6931130290031433,0.5078706741333008,,
0.693332850933075,0.5,6,799,,,,
0.6928450465202332,0.5166015625,6,849,,,,
0.6930246353149414,0.5,6,899,,,,
,,6,902,0.6930654048919678,0.5087747573852539,,
0.6929425001144409,0.5390625,7,949,,,,
0.6930264234542847,0.4970703125,7,999,,,,
,,7,1031,0.692969799041748,0.5109550952911377,,
0.692920446395874,0.51171875,8,1049,,,,
0.6923540830612183,0.5234375,8,1099,,,,
0.6928229928016663,0.501953125,8,1149,,,,
,,8,1160,0.6927454471588135,0.5118060111999512,,
0.6925082802772522,0.5146484375,9,1199,,,,
0.6919558048248291,0.525390625,9,1249,,,,
,,9,1289,0.6924302577972412,0.5174962878227234,,
0.6920573115348816,0.54296875,10,1299,,,,
0.6947001814842224,0.46875,10,1349,,,,
0.6924206614494324,0.515625,10,1399,,,,
,,10,1418,0.6922703981399536,0.5182408094406128,,
0.6923224925994873,0.517578125,11,1449,,,,
0.6923682689666748,0.5205078125,11,1499,,,,
,,11,1547,0.6921696662902832,0.5194639563560486,,
0.6903631091117859,0.541015625,12,1549,,,,
0.6927688717842102,0.5166015625,12,1599,,,,
0.6908722519874573,0.5302734375,12,1649,,,,
,,12,1676,0.6920929551124573,0.5202616453170776,,
0.6911478638648987,0.5146484375,13,1699,,,,
0.692692756652832,0.5029296875,13,1749,,,,
0.692418098449707,0.5205078125,13,1799,,,,
,,13,1805,0.6920328736305237,0.5218570232391357,,
0.6943131685256958,0.494140625,14,1849,,,,
0.6907815933227539,0.5361328125,14,1899,,,,
,,14,1934,0.6919851899147034,0.523665189743042,,
0.6932322978973389,0.5166015625,15,1949,,,,
0.6912786364555359,0.5458984375,15,1999,,,,
0.692472517490387,0.517578125,15,2049,,,,
,,15,2063,0.6919472217559814,0.524462878704071,,
0.6925708055496216,0.5244140625,16,2099,,,,
0.6897484064102173,0.546875,16,2149,,,,
,,16,2192,0.6919170618057251,0.5235056281089783,,
0.6935650110244751,0.5166015625,17,2199,,,,
0.6921128630638123,0.5302734375,17,2249,,,,
0.6913053393363953,0.5244140625,17,2299,,,,
,,17,2321,0.6918927431106567,0.523665189743042,,
0.6903563737869263,0.53125,18,2349,,,,
0.6909664869308472,0.560546875,18,2399,,,,
0.6916218400001526,0.5400390625,18,2449,,,,
,,18,2450,0.6918713450431824,0.5232397317886353,,
