prices,market_caps,total_volumes,label
"[0.50239171 0.51486734 0.54104791 0.50660835 0.47338613 0.41555337
 0.42852856 0.4583932  0.50285939 0.50061731 0.51189594 0.50612491
 0.49508202 0.45881895 0.46756668 0.53422144 0.5041743  0.46305102
 0.45984778 0.46039151 0.46308067 0.42503592 0.46258789 0.41209375]","[0.4879287  0.50466681 0.52646395 0.50545949 0.47960399 0.40402749
 0.41997186 0.44928936 0.49273838 0.49074564 0.50367947 0.49668619
 0.48534116 0.45412073 0.4583487  0.52908306 0.49846227 0.4539516
 0.45081559 0.45135478 0.45579898 0.41490104 0.45354076 0.40398564]","[0.22528821 0.20720584 0.21585176 0.20474938 0.16651345 0.13315653
 0.15145334 0.14862308 0.15496867 0.14759652 0.12350622 0.13620768
 0.13754603 0.13259119 0.10070105 0.11659353 0.10761023 0.12647206
 0.13392759 0.14452366 0.1401965  0.13206877 0.15737518 0.16110438]",-1
"[0.51486734 0.54104791 0.50660835 0.47338613 0.41555337 0.42852856
 0.4583932  0.50285939 0.50061731 0.51189594 0.50612491 0.49508202
 0.45881895 0.46756668 0.53422144 0.5041743  0.46305102 0.45984778
 0.46039151 0.46308067 0.42503592 0.46258789 0.41209375 0.37572397]","[0.50466681 0.52646395 0.50545949 0.47960399 0.40402749 0.41997186
 0.44928936 0.49273838 0.49074564 0.50367947 0.49668619 0.48534116
 0.45412073 0.4583487  0.52908306 0.49846227 0.4539516  0.45081559
 0.45135478 0.45579898 0.41490104 0.45354076 0.40398564 0.36935202]","[0.20720584 0.21585176 0.20474938 0.16651345 0.13315653 0.15145334
 0.14862308 0.15496867 0.14759652 0.12350622 0.13620768 0.13754603
 0.13259119 0.10070105 0.11659353 0.10761023 0.12647206 0.13392759
 0.14452366 0.1401965  0.13206877 0.15737518 0.16110438 0.16837341]",-1
"[0.54104791 0.50660835 0.47338613 0.41555337 0.42852856 0.4583932
 0.50285939 0.50061731 0.51189594 0.50612491 0.49508202 0.45881895
 0.46756668 0.53422144 0.5041743  0.46305102 0.45984778 0.46039151
 0.46308067 0.42503592 0.46258789 0.41209375 0.37572397 0.27924998]","[0.52646395 0.50545949 0.47960399 0.40402749 0.41997186 0.44928936
 0.49273838 0.49074564 0.50367947 0.49668619 0.48534116 0.45412073
 0.4583487  0.52908306 0.49846227 0.4539516  0.45081559 0.45135478
 0.45579898 0.41490104 0.45354076 0.40398564 0.36935202 0.27061119]","[0.21585176 0.20474938 0.16651345 0.13315653 0.15145334 0.14862308
 0.15496867 0.14759652 0.12350622 0.13620768 0.13754603 0.13259119
 0.10070105 0.11659353 0.10761023 0.12647206 0.13392759 0.14452366
 0.1401965  0.13206877 0.15737518 0.16110438 0.16837341 0.19655798]",-1
"[0.50660835 0.47338613 0.41555337 0.42852856 0.4583932  0.50285939
 0.50061731 0.51189594 0.50612491 0.49508202 0.45881895 0.46756668
 0.53422144 0.5041743  0.46305102 0.45984778 0.46039151 0.46308067
 0.42503592 0.46258789 0.41209375 0.37572397 0.27924998 0.23730965]","[0.50545949 0.47960399 0.40402749 0.41997186 0.44928936 0.49273838
 0.49074564 0.50367947 0.49668619 0.48534116 0.45412073 0.4583487
 0.52908306 0.49846227 0.4539516  0.45081559 0.45135478 0.45579898
 0.41490104 0.45354076 0.40398564 0.36935202 0.27061119 0.2291442 ]","[0.20474938 0.16651345 0.13315653 0.15145334 0.14862308 0.15496867
 0.14759652 0.12350622 0.13620768 0.13754603 0.13259119 0.10070105
 0.11659353 0.10761023 0.12647206 0.13392759 0.14452366 0.1401965
 0.13206877 0.15737518 0.16110438 0.16837341 0.19655798 0.22248959]",1
"[0.47338613 0.41555337 0.42852856 0.4583932  0.50285939 0.50061731
 0.51189594 0.50612491 0.49508202 0.45881895 0.46756668 0.53422144
 0.5041743  0.46305102 0.45984778 0.46039151 0.46308067 0.42503592
 0.46258789 0.41209375 0.37572397 0.27924998 0.23730965 0.27158945]","[0.47960399 0.40402749 0.41997186 0.44928936 0.49273838 0.49074564
 0.50367947 0.49668619 0.48534116 0.45412073 0.4583487  0.52908306
 0.49846227 0.4539516  0.45081559 0.45135478 0.45579898 0.41490104
 0.45354076 0.40398564 0.36935202 0.27061119 0.2291442  0.25963468]","[0.16651345 0.13315653 0.15145334 0.14862308 0.15496867 0.14759652
 0.12350622 0.13620768 0.13754603 0.13259119 0.10070105 0.11659353
 0.10761023 0.12647206 0.13392759 0.14452366 0.1401965  0.13206877
 0.15737518 0.16110438 0.16837341 0.19655798 0.22248959 0.25754097]",-1
"[0.41555337 0.42852856 0.4583932  0.50285939 0.50061731 0.51189594
 0.50612491 0.49508202 0.45881895 0.46756668 0.53422144 0.5041743
 0.46305102 0.45984778 0.46039151 0.46308067 0.42503592 0.46258789
 0.41209375 0.37572397 0.27924998 0.23730965 0.27158945 0.25630356]","[0.40402749 0.41997186 0.44928936 0.49273838 0.49074564 0.50367947
 0.49668619 0.48534116 0.45412073 0.4583487  0.52908306 0.49846227
 0.4539516  0.45081559 0.45135478 0.45579898 0.41490104 0.45354076
 0.40398564 0.36935202 0.27061119 0.2291442  0.25963468 0.27409364]","[0.13315653 0.15145334 0.14862308 0.15496867 0.14759652 0.12350622
 0.13620768 0.13754603 0.13259119 0.10070105 0.11659353 0.10761023
 0.12647206 0.13392759 0.14452366 0.1401965  0.13206877 0.15737518
 0.16110438 0.16837341 0.19655798 0.22248959 0.25754097 0.26771024]",1
"[0.42852856 0.4583932  0.50285939 0.50061731 0.51189594 0.50612491
 0.49508202 0.45881895 0.46756668 0.53422144 0.5041743  0.46305102
 0.45984778 0.46039151 0.46308067 0.42503592 0.46258789 0.41209375
 0.37572397 0.27924998 0.23730965 0.27158945 0.25630356 0.27505766]","[0.41997186 0.44928936 0.49273838 0.49074564 0.50367947 0.49668619
 0.48534116 0.45412073 0.4583487  0.52908306 0.49846227 0.4539516
 0.45081559 0.45135478 0.45579898 0.41490104 0.45354076 0.40398564
 0.36935202 0.27061119 0.2291442  0.25963468 0.27409364 0.27676904]","[0.15145334 0.14862308 0.15496867 0.14759652 0.12350622 0.13620768
 0.13754603 0.13259119 0.10070105 0.11659353 0.10761023 0.12647206
 0.13392759 0.14452366 0.1401965  0.13206877 0.15737518 0.16110438
 0.16837341 0.19655798 0.22248959 0.25754097 0.26771024 0.27131158]",1
"[0.4583932  0.50285939 0.50061731 0.51189594 0.50612491 0.49508202
 0.45881895 0.46756668 0.53422144 0.5041743  0.46305102 0.45984778
 0.46039151 0.46308067 0.42503592 0.46258789 0.41209375 0.37572397
 0.27924998 0.23730965 0.27158945 0.25630356 0.27505766 0.3219778 ]","[0.44928936 0.49273838 0.49074564 0.50367947 0.49668619 0.48534116
 0.45412073 0.4583487  0.52908306 0.49846227 0.4539516  0.45081559
 0.45135478 0.45579898 0.41490104 0.45354076 0.40398564 0.36935202
 0.27061119 0.2291442  0.25963468 0.27409364 0.27676904 0.31374003]","[0.14862308 0.15496867 0.14759652 0.12350622 0.13620768 0.13754603
 0.13259119 0.10070105 0.11659353 0.10761023 0.12647206 0.13392759
 0.14452366 0.1401965  0.13206877 0.15737518 0.16110438 0.16837341
 0.19655798 0.22248959 0.25754097 0.26771024 0.27131158 0.2941565 ]",-1
"[0.50285939 0.50061731 0.51189594 0.50612491 0.49508202 0.45881895
 0.46756668 0.53422144 0.5041743  0.46305102 0.45984778 0.46039151
 0.46308067 0.42503592 0.46258789 0.41209375 0.37572397 0.27924998
 0.23730965 0.27158945 0.25630356 0.27505766 0.3219778  0.27817727]","[0.49273838 0.49074564 0.50367947 0.49668619 0.48534116 0.45412073
 0.4583487  0.52908306 0.49846227 0.4539516  0.45081559 0.45135478
 0.45579898 0.41490104 0.45354076 0.40398564 0.36935202 0.27061119
 0.2291442  0.25963468 0.27409364 0.27676904 0.31374003 0.27892911]","[0.15496867 0.14759652 0.12350622 0.13620768 0.13754603 0.13259119
 0.10070105 0.11659353 0.10761023 0.12647206 0.13392759 0.14452366
 0.1401965  0.13206877 0.15737518 0.16110438 0.16837341 0.19655798
 0.22248959 0.25754097 0.26771024 0.27131158 0.2941565  0.29116988]",1
"[0.50061731 0.51189594 0.50612491 0.49508202 0.45881895 0.46756668
 0.53422144 0.5041743  0.46305102 0.45984778 0.46039151 0.46308067
 0.42503592 0.46258789 0.41209375 0.37572397 0.27924998 0.23730965
 0.27158945 0.25630356 0.27505766 0.3219778  0.27817727 0.28069385]","[0.49074564 0.50367947 0.49668619 0.48534116 0.45412073 0.4583487
 0.52908306 0.49846227 0.4539516  0.45081559 0.45135478 0.45579898
 0.41490104 0.45354076 0.40398564 0.36935202 0.27061119 0.2291442
 0.25963468 0.27409364 0.27676904 0.31374003 0.27892911 0.26977927]","[0.14759652 0.12350622 0.13620768 0.13754603 0.13259119 0.10070105
 0.11659353 0.10761023 0.12647206 0.13392759 0.14452366 0.1401965
 0.13206877 0.15737518 0.16110438 0.16837341 0.19655798 0.22248959
 0.25754097 0.26771024 0.27131158 0.2941565  0.29116988 0.28339656]",-1
"[0.51189594 0.50612491 0.49508202 0.45881895 0.46756668 0.53422144
 0.5041743  0.46305102 0.45984778 0.46039151 0.46308067 0.42503592
 0.46258789 0.41209375 0.37572397 0.27924998 0.23730965 0.27158945
 0.25630356 0.27505766 0.3219778  0.27817727 0.28069385 0.2512028 ]","[0.50367947 0.49668619 0.48534116 0.45412073 0.4583487  0.52908306
 0.49846227 0.4539516  0.45081559 0.45135478 0.45579898 0.41490104
 0.45354076 0.40398564 0.36935202 0.27061119 0.2291442  0.25963468
 0.27409364 0.27676904 0.31374003 0.27892911 0.26977927 0.24661177]","[0.12350622 0.13620768 0.13754603 0.13259119 0.10070105 0.11659353
 0.10761023 0.12647206 0.13392759 0.14452366 0.1401965  0.13206877
 0.15737518 0.16110438 0.16837341 0.19655798 0.22248959 0.25754097
 0.26771024 0.27131158 0.2941565  0.29116988 0.28339656 0.29321813]",-1
"[0.50612491 0.49508202 0.45881895 0.46756668 0.53422144 0.5041743
 0.46305102 0.45984778 0.46039151 0.46308067 0.42503592 0.46258789
 0.41209375 0.37572397 0.27924998 0.23730965 0.27158945 0.25630356
 0.27505766 0.3219778  0.27817727 0.28069385 0.2512028  0.20965258]","[0.49668619 0.48534116 0.45412073 0.4583487  0.52908306 0.49846227
 0.4539516  0.45081559 0.45135478 0.45579898 0.41490104 0.45354076
 0.40398564 0.36935202 0.27061119 0.2291442  0.25963468 0.27409364
 0.27676904 0.31374003 0.27892911 0.26977927 0.24661177 0.18269873]","[0.13620768 0.13754603 0.13259119 0.10070105 0.11659353 0.10761023
 0.12647206 0.13392759 0.14452366 0.1401965  0.13206877 0.15737518
 0.16110438 0.16837341 0.19655798 0.22248959 0.25754097 0.26771024
 0.27131158 0.2941565  0.29116988 0.28339656 0.29321813 0.33142802]",1
"[0.49508202 0.45881895 0.46756668 0.53422144 0.5041743  0.46305102
 0.45984778 0.46039151 0.46308067 0.42503592 0.46258789 0.41209375
 0.37572397 0.27924998 0.23730965 0.27158945 0.25630356 0.27505766
 0.3219778  0.27817727 0.28069385 0.2512028  0.20965258 0.22062503]","[0.48534116 0.45412073 0.4583487  0.52908306 0.49846227 0.4539516
 0.45081559 0.45135478 0.45579898 0.41490104 0.45354076 0.40398564
 0.36935202 0.27061119 0.2291442  0.25963468 0.27409364 0.27676904
 0.31374003 0.27892911 0.26977927 0.24661177 0.18269873 0.21613673]","[0.13754603 0.13259119 0.10070105 0.11659353 0.10761023 0.12647206
 0.13392759 0.14452366 0.1401965  0.13206877 0.15737518 0.16110438
 0.16837341 0.19655798 0.22248959 0.25754097 0.26771024 0.27131158
 0.2941565  0.29116988 0.28339656 0.29321813 0.33142802 0.34372247]",1
"[0.45881895 0.46756668 0.53422144 0.5041743  0.46305102 0.45984778
 0.46039151 0.46308067 0.42503592 0.46258789 0.41209375 0.37572397
 0.27924998 0.23730965 0.27158945 0.25630356 0.27505766 0.3219778
 0.27817727 0.28069385 0.2512028  0.20965258 0.22062503 0.23492723]","[0.45412073 0.4583487  0.52908306 0.49846227 0.4539516  0.45081559
 0.45135478 0.45579898 0.41490104 0.45354076 0.40398564 0.36935202
 0.27061119 0.2291442  0.25963468 0.27409364 0.27676904 0.31374003
 0.27892911 0.26977927 0.24661177 0.18269873 0.21613673 0.23558876]","[0.13259119 0.10070105 0.11659353 0.10761023 0.12647206 0.13392759
 0.14452366 0.1401965  0.13206877 0.15737518 0.16110438 0.16837341
 0.19655798 0.22248959 0.25754097 0.26771024 0.27131158 0.2941565
 0.29116988 0.28339656 0.29321813 0.33142802 0.34372247 0.32670011]",1
"[0.46756668 0.53422144 0.5041743  0.46305102 0.45984778 0.46039151
 0.46308067 0.42503592 0.46258789 0.41209375 0.37572397 0.27924998
 0.23730965 0.27158945 0.25630356 0.27505766 0.3219778  0.27817727
 0.28069385 0.2512028  0.20965258 0.22062503 0.23492723 0.2572876 ]","[0.4583487  0.52908306 0.49846227 0.4539516  0.45081559 0.45135478
 0.45579898 0.41490104 0.45354076 0.40398564 0.36935202 0.27061119
 0.2291442  0.25963468 0.27409364 0.27676904 0.31374003 0.27892911
 0.26977927 0.24661177 0.18269873 0.21613673 0.23558876 0.25214448]","[0.10070105 0.11659353 0.10761023 0.12647206 0.13392759 0.14452366
 0.1401965  0.13206877 0.15737518 0.16110438 0.16837341 0.19655798
 0.22248959 0.25754097 0.26771024 0.27131158 0.2941565  0.29116988
 0.28339656 0.29321813 0.33142802 0.34372247 0.32670011 0.34304456]",1
"[0.53422144 0.5041743  0.46305102 0.45984778 0.46039151 0.46308067
 0.42503592 0.46258789 0.41209375 0.37572397 0.27924998 0.23730965
 0.27158945 0.25630356 0.27505766 0.3219778  0.27817727 0.28069385
 0.2512028  0.20965258 0.22062503 0.23492723 0.2572876  0.27559819]","[0.52908306 0.49846227 0.4539516  0.45081559 0.45135478 0.45579898
 0.41490104 0.45354076 0.40398564 0.36935202 0.27061119 0.2291442
 0.25963468 0.27409364 0.27676904 0.31374003 0.27892911 0.26977927
 0.24661177 0.18269873 0.21613673 0.23558876 0.25214448 0.2709539 ]","[0.11659353 0.10761023 0.12647206 0.13392759 0.14452366 0.1401965
 0.13206877 0.15737518 0.16110438 0.16837341 0.19655798 0.22248959
 0.25754097 0.26771024 0.27131158 0.2941565  0.29116988 0.28339656
 0.29321813 0.33142802 0.34372247 0.32670011 0.34304456 0.3378304 ]",1
"[0.5041743  0.46305102 0.45984778 0.46039151 0.46308067 0.42503592
 0.46258789 0.41209375 0.37572397 0.27924998 0.23730965 0.27158945
 0.25630356 0.27505766 0.3219778  0.27817727 0.28069385 0.2512028
 0.20965258 0.22062503 0.23492723 0.2572876  0.27559819 0.27762384]","[0.49846227 0.4539516  0.45081559 0.45135478 0.45579898 0.41490104
 0.45354076 0.40398564 0.36935202 0.27061119 0.2291442  0.25963468
 0.27409364 0.27676904 0.31374003 0.27892911 0.26977927 0.24661177
 0.18269873 0.21613673 0.23558876 0.25214448 0.2709539  0.27422593]","[0.10761023 0.12647206 0.13392759 0.14452366 0.1401965  0.13206877
 0.15737518 0.16110438 0.16837341 0.19655798 0.22248959 0.25754097
 0.26771024 0.27131158 0.2941565  0.29116988 0.28339656 0.29321813
 0.33142802 0.34372247 0.32670011 0.34304456 0.3378304  0.32740948]",-1
"[0.46305102 0.45984778 0.46039151 0.46308067 0.42503592 0.46258789
 0.41209375 0.37572397 0.27924998 0.23730965 0.27158945 0.25630356
 0.27505766 0.3219778  0.27817727 0.28069385 0.2512028  0.20965258
 0.22062503 0.23492723 0.2572876  0.27559819 0.27762384 0.27270811]","[0.4539516  0.45081559 0.45135478 0.45579898 0.41490104 0.45354076
 0.40398564 0.36935202 0.27061119 0.2291442  0.25963468 0.27409364
 0.27676904 0.31374003 0.27892911 0.26977927 0.24661177 0.18269873
 0.21613673 0.23558876 0.25214448 0.2709539  0.27422593 0.26372695]","[0.12647206 0.13392759 0.14452366 0.1401965  0.13206877 0.15737518
 0.16110438 0.16837341 0.19655798 0.22248959 0.25754097 0.26771024
 0.27131158 0.2941565  0.29116988 0.28339656 0.29321813 0.33142802
 0.34372247 0.32670011 0.34304456 0.3378304  0.32740948 0.34525645]",1
"[0.45984778 0.46039151 0.46308067 0.42503592 0.46258789 0.41209375
 0.37572397 0.27924998 0.23730965 0.27158945 0.25630356 0.27505766
 0.3219778  0.27817727 0.28069385 0.2512028  0.20965258 0.22062503
 0.23492723 0.2572876  0.27559819 0.27762384 0.27270811 0.32327655]","[0.45081559 0.45135478 0.45579898 0.41490104 0.45354076 0.40398564
 0.36935202 0.27061119 0.2291442  0.25963468 0.27409364 0.27676904
 0.31374003 0.27892911 0.26977927 0.24661177 0.18269873 0.21613673
 0.23558876 0.25214448 0.2709539  0.27422593 0.26372695 0.3196301 ]","[0.13392759 0.14452366 0.1401965  0.13206877 0.15737518 0.16110438
 0.16837341 0.19655798 0.22248959 0.25754097 0.26771024 0.27131158
 0.2941565  0.29116988 0.28339656 0.29321813 0.33142802 0.34372247
 0.32670011 0.34304456 0.3378304  0.32740948 0.34525645 0.3373207 ]",-1
"[0.46039151 0.46308067 0.42503592 0.46258789 0.41209375 0.37572397
 0.27924998 0.23730965 0.27158945 0.25630356 0.27505766 0.3219778
 0.27817727 0.28069385 0.2512028  0.20965258 0.22062503 0.23492723
 0.2572876  0.27559819 0.27762384 0.27270811 0.32327655 0.31818808]","[0.45135478 0.45579898 0.41490104 0.45354076 0.40398564 0.36935202
 0.27061119 0.2291442  0.25963468 0.27409364 0.27676904 0.31374003
 0.27892911 0.26977927 0.24661177 0.18269873 0.21613673 0.23558876
 0.25214448 0.2709539  0.27422593 0.26372695 0.3196301  0.32273831]","[0.14452366 0.1401965  0.13206877 0.15737518 0.16110438 0.16837341
 0.19655798 0.22248959 0.25754097 0.26771024 0.27131158 0.2941565
 0.29116988 0.28339656 0.29321813 0.33142802 0.34372247 0.32670011
 0.34304456 0.3378304  0.32740948 0.34525645 0.3373207  0.34994572]",-1
"[0.46308067 0.42503592 0.46258789 0.41209375 0.37572397 0.27924998
 0.23730965 0.27158945 0.25630356 0.27505766 0.3219778  0.27817727
 0.28069385 0.2512028  0.20965258 0.22062503 0.23492723 0.2572876
 0.27559819 0.27762384 0.27270811 0.32327655 0.31818808 0.30654376]","[0.45579898 0.41490104 0.45354076 0.40398564 0.36935202 0.27061119
 0.2291442  0.25963468 0.27409364 0.27676904 0.31374003 0.27892911
 0.26977927 0.24661177 0.18269873 0.21613673 0.23558876 0.25214448
 0.2709539  0.27422593 0.26372695 0.3196301  0.32273831 0.30134645]","[0.1401965  0.13206877 0.15737518 0.16110438 0.16837341 0.19655798
 0.22248959 0.25754097 0.26771024 0.27131158 0.2941565  0.29116988
 0.28339656 0.29321813 0.33142802 0.34372247 0.32670011 0.34304456
 0.3378304  0.32740948 0.34525645 0.3373207  0.34994572 0.33196935]",-1
"[0.42503592 0.46258789 0.41209375 0.37572397 0.27924998 0.23730965
 0.27158945 0.25630356 0.27505766 0.3219778  0.27817727 0.28069385
 0.2512028  0.20965258 0.22062503 0.23492723 0.2572876  0.27559819
 0.27762384 0.27270811 0.32327655 0.31818808 0.30654376 0.30399999]","[0.41490104 0.45354076 0.40398564 0.36935202 0.27061119 0.2291442
 0.25963468 0.27409364 0.27676904 0.31374003 0.27892911 0.26977927
 0.24661177 0.18269873 0.21613673 0.23558876 0.25214448 0.2709539
 0.27422593 0.26372695 0.3196301  0.32273831 0.30134645 0.30231525]","[0.13206877 0.15737518 0.16110438 0.16837341 0.19655798 0.22248959
 0.25754097 0.26771024 0.27131158 0.2941565  0.29116988 0.28339656
 0.29321813 0.33142802 0.34372247 0.32670011 0.34304456 0.3378304
 0.32740948 0.34525645 0.3373207  0.34994572 0.33196935 0.33020889]",1
"[0.46258789 0.41209375 0.37572397 0.27924998 0.23730965 0.27158945
 0.25630356 0.27505766 0.3219778  0.27817727 0.28069385 0.2512028
 0.20965258 0.22062503 0.23492723 0.2572876  0.27559819 0.27762384
 0.27270811 0.32327655 0.31818808 0.30654376 0.30399999 0.35316489]","[0.45354076 0.40398564 0.36935202 0.27061119 0.2291442  0.25963468
 0.27409364 0.27676904 0.31374003 0.27892911 0.26977927 0.24661177
 0.18269873 0.21613673 0.23558876 0.25214448 0.2709539  0.27422593
 0.26372695 0.3196301  0.32273831 0.30134645 0.30231525 0.34799107]","[0.15737518 0.16110438 0.16837341 0.19655798 0.22248959 0.25754097
 0.26771024 0.27131158 0.2941565  0.29116988 0.28339656 0.29321813
 0.33142802 0.34372247 0.32670011 0.34304456 0.3378304  0.32740948
 0.34525645 0.3373207  0.34994572 0.33196935 0.33020889 0.35749425]",-1
"[0.41209375 0.37572397 0.27924998 0.23730965 0.27158945 0.25630356
 0.27505766 0.3219778  0.27817727 0.28069385 0.2512028  0.20965258
 0.22062503 0.23492723 0.2572876  0.27559819 0.27762384 0.27270811
 0.32327655 0.31818808 0.30654376 0.30399999 0.35316489 0.35011687]","[0.40398564 0.36935202 0.27061119 0.2291442  0.25963468 0.27409364
 0.27676904 0.31374003 0.27892911 0.26977927 0.24661177 0.18269873
 0.21613673 0.23558876 0.25214448 0.2709539  0.27422593 0.26372695
 0.3196301  0.32273831 0.30134645 0.30231525 0.34799107 0.34458316]","[0.16110438 0.16837341 0.19655798 0.22248959 0.25754097 0.26771024
 0.27131158 0.2941565  0.29116988 0.28339656 0.29321813 0.33142802
 0.34372247 0.32670011 0.34304456 0.3378304  0.32740948 0.34525645
 0.3373207  0.34994572 0.33196935 0.33020889 0.35749425 0.34255683]",-1
"[0.37572397 0.27924998 0.23730965 0.27158945 0.25630356 0.27505766
 0.3219778  0.27817727 0.28069385 0.2512028  0.20965258 0.22062503
 0.23492723 0.2572876  0.27559819 0.27762384 0.27270811 0.32327655
 0.31818808 0.30654376 0.30399999 0.35316489 0.35011687 0.34084751]","[0.36935202 0.27061119 0.2291442  0.25963468 0.27409364 0.27676904
 0.31374003 0.27892911 0.26977927 0.24661177 0.18269873 0.21613673
 0.23558876 0.25214448 0.2709539  0.27422593 0.26372695 0.3196301
 0.32273831 0.30134645 0.30231525 0.34799107 0.34458316 0.32800053]","[0.16837341 0.19655798 0.22248959 0.25754097 0.26771024 0.27131158
 0.2941565  0.29116988 0.28339656 0.29321813 0.33142802 0.34372247
 0.32670011 0.34304456 0.3378304  0.32740948 0.34525645 0.3373207
 0.34994572 0.33196935 0.33020889 0.35749425 0.34255683 0.35429955]",-1
"[0.27924998 0.23730965 0.27158945 0.25630356 0.27505766 0.3219778
 0.27817727 0.28069385 0.2512028  0.20965258 0.22062503 0.23492723
 0.2572876  0.27559819 0.27762384 0.27270811 0.32327655 0.31818808
 0.30654376 0.30399999 0.35316489 0.35011687 0.34084751 0.30230551]","[0.27061119 0.2291442  0.25963468 0.27409364 0.27676904 0.31374003
 0.27892911 0.26977927 0.24661177 0.18269873 0.21613673 0.23558876
 0.25214448 0.2709539  0.27422593 0.26372695 0.3196301  0.32273831
 0.30134645 0.30231525 0.34799107 0.34458316 0.32800053 0.29577541]","[0.19655798 0.22248959 0.25754097 0.26771024 0.27131158 0.2941565
 0.29116988 0.28339656 0.29321813 0.33142802 0.34372247 0.32670011
 0.34304456 0.3378304  0.32740948 0.34525645 0.3373207  0.34994572
 0.33196935 0.33020889 0.35749425 0.34255683 0.35429955 0.3288811 ]",-1
"[0.23730965 0.27158945 0.25630356 0.27505766 0.3219778  0.27817727
 0.28069385 0.2512028  0.20965258 0.22062503 0.23492723 0.2572876
 0.27559819 0.27762384 0.27270811 0.32327655 0.31818808 0.30654376
 0.30399999 0.35316489 0.35011687 0.34084751 0.30230551 0.25855009]","[0.2291442  0.25963468 0.27409364 0.27676904 0.31374003 0.27892911
 0.26977927 0.24661177 0.18269873 0.21613673 0.23558876 0.25214448
 0.2709539  0.27422593 0.26372695 0.3196301  0.32273831 0.30134645
 0.30231525 0.34799107 0.34458316 0.32800053 0.29577541 0.26055355]","[0.22248959 0.25754097 0.26771024 0.27131158 0.2941565  0.29116988
 0.28339656 0.29321813 0.33142802 0.34372247 0.32670011 0.34304456
 0.3378304  0.32740948 0.34525645 0.3373207  0.34994572 0.33196935
 0.33020889 0.35749425 0.34255683 0.35429955 0.3288811  0.28350086]",1
"[0.27158945 0.25630356 0.27505766 0.3219778  0.27817727 0.28069385
 0.2512028  0.20965258 0.22062503 0.23492723 0.2572876  0.27559819
 0.27762384 0.27270811 0.32327655 0.31818808 0.30654376 0.30399999
 0.35316489 0.35011687 0.34084751 0.30230551 0.25855009 0.28514564]","[0.25963468 0.27409364 0.27676904 0.31374003 0.27892911 0.26977927
 0.24661177 0.18269873 0.21613673 0.23558876 0.25214448 0.2709539
 0.27422593 0.26372695 0.3196301  0.32273831 0.30134645 0.30231525
 0.34799107 0.34458316 0.32800053 0.29577541 0.26055355 0.27959757]","[0.25754097 0.26771024 0.27131158 0.2941565  0.29116988 0.28339656
 0.29321813 0.33142802 0.34372247 0.32670011 0.34304456 0.3378304
 0.32740948 0.34525645 0.3373207  0.34994572 0.33196935 0.33020889
 0.35749425 0.34255683 0.35429955 0.3288811  0.28350086 0.28546083]",-1
"[0.25630356 0.27505766 0.3219778  0.27817727 0.28069385 0.2512028
 0.20965258 0.22062503 0.23492723 0.2572876  0.27559819 0.27762384
 0.27270811 0.32327655 0.31818808 0.30654376 0.30399999 0.35316489
 0.35011687 0.34084751 0.30230551 0.25855009 0.28514564 0.26779337]","[0.27409364 0.27676904 0.31374003 0.27892911 0.26977927 0.24661177
 0.18269873 0.21613673 0.23558876 0.25214448 0.2709539  0.27422593
 0.26372695 0.3196301  0.32273831 0.30134645 0.30231525 0.34799107
 0.34458316 0.32800053 0.29577541 0.26055355 0.27959757 0.26257222]","[0.26771024 0.27131158 0.2941565  0.29116988 0.28339656 0.29321813
 0.33142802 0.34372247 0.32670011 0.34304456 0.3378304  0.32740948
 0.34525645 0.3373207  0.34994572 0.33196935 0.33020889 0.35749425
 0.34255683 0.35429955 0.3288811  0.28350086 0.28546083 0.23477369]",1
"[0.27505766 0.3219778  0.27817727 0.28069385 0.2512028  0.20965258
 0.22062503 0.23492723 0.2572876  0.27559819 0.27762384 0.27270811
 0.32327655 0.31818808 0.30654376 0.30399999 0.35316489 0.35011687
 0.34084751 0.30230551 0.25855009 0.28514564 0.26779337 0.26833485]","[0.27676904 0.31374003 0.27892911 0.26977927 0.24661177 0.18269873
 0.21613673 0.23558876 0.25214448 0.2709539  0.27422593 0.26372695
 0.3196301  0.32273831 0.30134645 0.30231525 0.34799107 0.34458316
 0.32800053 0.29577541 0.26055355 0.27959757 0.26257222 0.26663433]","[0.27131158 0.2941565  0.29116988 0.28339656 0.29321813 0.33142802
 0.34372247 0.32670011 0.34304456 0.3378304  0.32740948 0.34525645
 0.3373207  0.34994572 0.33196935 0.33020889 0.35749425 0.34255683
 0.35429955 0.3288811  0.28350086 0.28546083 0.23477369 0.2388402 ]",-1
