val_loss,val_accuracy,epoch,step,test_loss,test_accuracy
0.6932448148727417,0.49946820735931396,0,1,,
0.6931385397911072,0.49946820735931396,1,2,,
0.6931275725364685,0.49946820735931396,2,3,,
0.6931188106536865,0.5004786252975464,3,4,,
0.6931255459785461,0.500531792640686,4,5,,
,,4,6,0.6931130290031433,0.5011168122291565
